,Element,Wavelength,n,k
1335,BK7_2,7.7519,0.9391,0.0446
1336,BK7_2,7.764,0.9314,0.0445
1337,BK7_2,7.776,0.9237,0.0443
1338,BK7_2,7.7882,0.916,0.0441
1339,BK7_2,7.8003,0.9081,0.0441
1340,BK7_2,7.8125,0.9004,0.0444
1341,BK7_2,7.8247,0.8928,0.0451
1342,BK7_2,7.837,0.8854,0.0465
1343,BK7_2,7.8493,0.8779,0.0487
1344,BK7_2,7.8616,0.8696,0.0513
1345,BK7_2,7.874,0.8591,0.0543
1346,BK7_2,7.8864,0.846,0.0575
1347,BK7_2,7.8989,0.8317,0.0607
1348,BK7_2,7.9114,0.8168,0.0638
1349,BK7_2,7.9239,0.8018,0.0671
1350,BK7_2,7.9365,0.7887,0.0711
1351,BK7_2,7.9491,0.7776,0.0756
1352,BK7_2,7.9618,0.7649,0.0807
1353,BK7_2,7.9745,0.7499,0.0863
1354,BK7_2,7.9872,0.7368,0.0925
1355,BK7_2,8.0,0.7258,0.0997
1356,BK7_2,8.0128,0.7121,0.1093
1357,BK7_2,8.0257,0.6969,0.1228
1358,BK7_2,8.0386,0.6861,0.1344
1359,BK7_2,8.0515,0.6783,0.1483
1360,BK7_2,8.0645,0.6715,0.1634
1361,BK7_2,8.0775,0.6644,0.1789
1362,BK7_2,8.0906,0.6567,0.1943
1363,BK7_2,8.1037,0.6487,0.209
1364,BK7_2,8.1169,0.6405,0.224
1365,BK7_2,8.1301,0.6325,0.2419
1366,BK7_2,8.1433,0.6253,0.26
1367,BK7_2,8.1566,0.619,0.2761
1368,BK7_2,8.1699,0.6139,0.2909
1369,BK7_2,8.1833,0.6101,0.3075
1370,BK7_2,8.1967,0.6076,0.3256
1371,BK7_2,8.2102,0.6064,0.3436
1372,BK7_2,8.2237,0.6061,0.3602
1373,BK7_2,8.2372,0.6064,0.3758
1374,BK7_2,8.2508,0.607,0.3915
1375,BK7_2,8.2645,0.6077,0.4071
1376,BK7_2,8.2781,0.6084,0.4225
1377,BK7_2,8.2919,0.6092,0.4376
1378,BK7_2,8.3056,0.6103,0.4523
1379,BK7_2,8.3195,0.6118,0.4665
1380,BK7_2,8.3333,0.6139,0.4801
1381,BK7_2,8.3472,0.6167,0.4932
1382,BK7_2,8.3612,0.6199,0.5059
1383,BK7_2,8.3752,0.6229,0.5184
1384,BK7_2,8.3893,0.6248,0.5309
1385,BK7_2,8.4034,0.6254,0.5434
1386,BK7_2,8.4175,0.6262,0.5561
1387,BK7_2,8.4317,0.6275,0.5691
1388,BK7_2,8.4459,0.6291,0.5821
1389,BK7_2,8.4602,0.6309,0.5947
1390,BK7_2,8.4746,0.6328,0.6068
1391,BK7_2,8.489,0.6348,0.618
1392,BK7_2,8.5034,0.6369,0.6283
1393,BK7_2,8.5179,0.639,0.6379
1394,BK7_2,8.5324,0.6412,0.6471
1395,BK7_2,8.547,0.6434,0.6563
1396,BK7_2,8.5616,0.6457,0.6661
1397,BK7_2,8.5763,0.648,0.677
1398,BK7_2,8.5911,0.6503,0.6888
1399,BK7_2,8.6059,0.6527,0.7003
1400,BK7_2,8.6207,0.6551,0.7106
1401,BK7_2,8.6356,0.6576,0.7202
1402,BK7_2,8.6505,0.6602,0.7297
1403,BK7_2,8.6655,0.6629,0.7395
1404,BK7_2,8.6806,0.6656,0.7497
1405,BK7_2,8.6957,0.6678,0.7603
1406,BK7_2,8.7108,0.6685,0.7712
1407,BK7_2,8.726,0.6685,0.7824
1408,BK7_2,8.7413,0.6683,0.7937
1409,BK7_2,8.7566,0.6681,0.8052
1410,BK7_2,8.7719,0.6682,0.8169
1411,BK7_2,8.7873,0.6687,0.8287
1412,BK7_2,8.8028,0.6701,0.8406
1413,BK7_2,8.8183,0.6718,0.8529
1414,BK7_2,8.8339,0.6734,0.8655
1415,BK7_2,8.8496,0.6743,0.8786
1416,BK7_2,8.8652,0.6746,0.8923
1417,BK7_2,8.881,0.6745,0.9066
1418,BK7_2,8.8968,0.6743,0.9215
1419,BK7_2,8.9127,0.6739,0.9368
1420,BK7_2,8.9286,0.6736,0.9524
1421,BK7_2,8.9445,0.6734,0.9681
1422,BK7_2,8.9606,0.6733,0.9836
1423,BK7_2,8.9767,0.6734,0.9984
1424,BK7_2,8.9928,0.6737,1.0133
1425,BK7_2,9.009,0.6744,1.0344
1426,BK7_2,9.0253,0.6754,1.0581
1427,BK7_2,9.0416,0.6766,1.0806
1428,BK7_2,9.058,0.678,1.0995
1429,BK7_2,9.0744,0.6794,1.1165
1430,BK7_2,9.0909,0.6809,1.1395
1431,BK7_2,9.1075,0.6826,1.1695
1432,BK7_2,9.1241,0.6848,1.1951
1433,BK7_2,9.1408,0.6875,1.2196
1434,BK7_2,9.1575,0.6916,1.2477
1435,BK7_2,9.1743,0.6977,1.2826
1436,BK7_2,9.1912,0.7063,1.3154
1437,BK7_2,9.2081,0.7161,1.3406
1438,BK7_2,9.2251,0.7264,1.369
1439,BK7_2,9.2421,0.7472,1.407
1440,BK7_2,9.2593,0.7702,1.4346
1441,BK7_2,9.2764,0.7835,1.4798
1442,BK7_2,9.2937,0.8023,1.5114
1443,BK7_2,9.311,0.836,1.5378
1444,BK7_2,9.3284,0.8596,1.5647
1445,BK7_2,9.3458,0.9076,1.5948
1446,BK7_2,9.3633,0.9342,1.6176
1447,BK7_2,9.3809,0.9743,1.6442
1448,BK7_2,9.3985,0.9998,1.6726
1449,BK7_2,9.4162,1.0297,1.6901
1450,BK7_2,9.434,1.057,1.7064
1451,BK7_2,9.4518,1.0942,1.7229
1452,BK7_2,9.4697,1.1302,1.7391
1453,BK7_2,9.4877,1.1639,1.7539
1454,BK7_2,9.5057,1.2237,1.7665
1455,BK7_2,9.5238,1.2501,1.7768
1456,BK7_2,9.542,1.3086,1.7856
1457,BK7_2,9.5602,1.3372,1.7935
1458,BK7_2,9.5785,1.3947,1.8005
1459,BK7_2,9.5969,1.4234,1.8065
1460,BK7_2,9.6154,1.4697,1.811
1461,BK7_2,9.6339,1.5146,1.814
1462,BK7_2,9.6525,1.5461,1.8157
1463,BK7_2,9.6712,1.5746,1.8162
1464,BK7_2,9.6899,1.6309,1.8155
1465,BK7_2,9.7087,1.6565,1.8134
1466,BK7_2,9.7276,1.69,1.81
1467,BK7_2,9.7466,1.7306,1.8055
1468,BK7_2,9.7656,1.7841,1.7997
1469,BK7_2,9.7847,1.8334,1.7927
1470,BK7_2,9.8039,1.8846,1.7842
1471,BK7_2,9.8232,1.9259,1.7741
1472,BK7_2,9.8425,1.9525,1.762
1473,BK7_2,9.8619,1.9788,1.7457
1474,BK7_2,9.8814,2.04,1.7089
1475,BK7_2,9.901,2.0654,1.6926
1476,BK7_2,9.9206,2.0968,1.6774
1477,BK7_2,9.9404,2.118,1.6583
1478,BK7_2,9.9602,2.1767,1.6341
1479,BK7_2,9.98,2.2032,1.6017
1480,BK7_2,10.0,2.2327,1.5617
1481,BK7_2,10.02,2.2613,1.5331
1482,BK7_2,10.04,2.2901,1.5006
1483,BK7_2,10.06,2.3188,1.4696
1484,BK7_2,10.081,2.3478,1.4425
1485,BK7_2,10.101,2.3758,1.4189
1486,BK7_2,10.121,2.4061,1.3984
1487,BK7_2,10.142,2.4178,1.3583
1488,BK7_2,10.163,2.4294,1.3068
1489,BK7_2,10.183,2.458,1.2603
1490,BK7_2,10.204,2.474,1.2231
1491,BK7_2,10.225,2.4863,1.1899
1492,BK7_2,10.246,2.497,1.1583
1493,BK7_2,10.267,2.504,1.1269
1494,BK7_2,10.288,2.508,1.0933
1495,BK7_2,10.309,2.5101,1.0546
1496,BK7_2,10.331,2.5109,1.014
1497,BK7_2,10.352,2.5107,0.9769
1498,BK7_2,10.373,2.5092,0.9433
1499,BK7_2,10.395,2.5058,0.9116
1500,BK7_2,10.417,2.4991,0.8815
1501,BK7_2,10.438,2.4896,0.8542
1502,BK7_2,10.46,2.4818,0.8295
1503,BK7_2,10.482,2.4763,0.7928
1504,BK7_2,10.504,2.4711,0.7539
1505,BK7_2,10.526,2.4628,0.7322
1506,BK7_2,10.549,2.4469,0.7088
1507,BK7_2,10.571,2.4286,0.6852
1508,BK7_2,10.593,2.4121,0.6653
1509,BK7_2,10.616,2.3985,0.6471
1510,BK7_2,10.638,2.3887,0.6291
1511,BK7_2,10.661,2.3817,0.6115
1512,BK7_2,10.684,2.3746,0.5962
1513,BK7_2,10.707,2.3629,0.5829
1514,BK7_2,10.73,2.3465,0.5702
1515,BK7_2,10.753,2.3329,0.5579
1516,BK7_2,10.776,2.3231,0.5459
1517,BK7_2,10.799,2.3149,0.5346
1518,BK7_2,10.823,2.3073,0.5242
1519,BK7_2,10.846,2.3,0.5144
1520,BK7_2,10.87,2.2926,0.5049
1521,BK7_2,10.893,2.2849,0.4957
1522,BK7_2,10.917,2.2766,0.4867
1523,BK7_2,10.941,2.2679,0.4779
1524,BK7_2,10.965,2.2602,0.4692
1525,BK7_2,10.989,2.2544,0.4607
1526,BK7_2,11.013,2.2498,0.4524
1527,BK7_2,11.038,2.2458,0.4443
1528,BK7_2,11.062,2.2417,0.4365
1529,BK7_2,11.086,2.237,0.4289
1530,BK7_2,11.111,2.2311,0.4215
1531,BK7_2,11.136,2.225,0.4142
1532,BK7_2,11.161,2.2197,0.4069
1533,BK7_2,11.186,2.2152,0.3997
1534,BK7_2,11.211,2.211,0.3923
1535,BK7_2,11.236,2.207,0.3848
1536,BK7_2,11.261,2.2028,0.377
1537,BK7_2,11.287,2.1985,0.3689
1538,BK7_2,11.312,2.1941,0.3606
1539,BK7_2,11.338,2.1897,0.3521
1540,BK7_2,11.364,2.1852,0.3435
1541,BK7_2,11.39,2.1807,0.3349
1542,BK7_2,11.416,2.1764,0.3262
1543,BK7_2,11.442,2.1723,0.3177
1544,BK7_2,11.468,2.1684,0.3094
1545,BK7_2,11.494,2.1645,0.3011
1546,BK7_2,11.521,2.1601,0.293
1547,BK7_2,11.547,2.1547,0.2849
1548,BK7_2,11.574,2.1475,0.2768
1549,BK7_2,11.601,2.1392,0.2687
1550,BK7_2,11.628,2.1315,0.2604
1551,BK7_2,11.655,2.1254,0.2519
1552,BK7_2,11.682,2.12,0.2429
1553,BK7_2,11.71,2.1143,0.2336
1554,BK7_2,11.737,2.1077,0.2242
1555,BK7_2,11.765,2.0996,0.215
1556,BK7_2,11.792,2.0888,0.2068
1557,BK7_2,11.82,2.0741,0.1995
1558,BK7_2,11.848,2.0586,0.1934
1559,BK7_2,11.876,2.0473,0.1881
1560,BK7_2,11.905,2.0394,0.1838
1561,BK7_2,11.933,2.0324,0.1801
1562,BK7_2,11.962,2.0244,0.1771
1563,BK7_2,11.99,2.0132,0.1748
1564,BK7_2,12.019,1.9974,0.1733
1565,BK7_2,12.048,1.9837,0.1727
1566,BK7_2,12.077,1.973,0.173
1567,BK7_2,12.107,1.9626,0.1741
1568,BK7_2,12.136,1.9526,0.1756
1569,BK7_2,12.165,1.9438,0.1776
1570,BK7_2,12.195,1.9368,0.1799
1571,BK7_2,12.225,1.9313,0.1825
1572,BK7_2,12.255,1.9263,0.1853
1573,BK7_2,12.285,1.921,0.1884
1574,BK7_2,12.315,1.9162,0.1916
1575,BK7_2,12.346,1.9122,0.195
1576,BK7_2,12.376,1.9092,0.1984
1577,BK7_2,12.407,1.9073,0.2016
1578,BK7_2,12.438,1.9062,0.2047
1579,BK7_2,12.469,1.9053,0.2073
1580,BK7_2,12.5,1.9046,0.2095
1581,BK7_2,12.531,1.9036,0.2111
1582,BK7_2,12.563,1.9024,0.2121
1583,BK7_2,12.594,1.901,0.2127
1584,BK7_2,12.626,1.8997,0.213
1585,BK7_2,12.658,1.8987,0.213
1586,BK7_2,12.69,1.8981,0.2126
1587,BK7_2,12.723,1.898,0.2117
1588,BK7_2,12.755,1.8982,0.2105
1589,BK7_2,12.788,1.8983,0.2089
1590,BK7_2,12.821,1.8983,0.2069
1591,BK7_2,12.853,1.898,0.2046
1592,BK7_2,12.887,1.8972,0.2018
1593,BK7_2,12.92,1.8961,0.1985
1594,BK7_2,12.953,1.8947,0.1948
1595,BK7_2,12.987,1.8929,0.1908
1596,BK7_2,13.021,1.8908,0.1864
1597,BK7_2,13.055,1.8882,0.1818
1598,BK7_2,13.089,1.8851,0.1769
1599,BK7_2,13.123,1.8814,0.1725
1600,BK7_2,13.158,1.8773,0.1693
1601,BK7_2,13.193,1.8729,0.1671
1602,BK7_2,13.228,1.8685,0.1656
1603,BK7_2,13.263,1.8641,0.1644
1604,BK7_2,13.298,1.8598,0.1633
1605,BK7_2,13.333,1.8556,0.1624
1606,BK7_2,13.369,1.8512,0.1615
1607,BK7_2,13.405,1.8465,0.1606
1608,BK7_2,13.441,1.8415,0.1594
1609,BK7_2,13.477,1.8368,0.1575
1610,BK7_2,13.514,1.8329,0.1547
1611,BK7_2,13.55,1.83,0.152
1612,BK7_2,13.587,1.8277,0.1497
1613,BK7_2,13.624,1.8256,0.1481
1614,BK7_2,13.661,1.8236,0.1474
1615,BK7_2,13.699,1.8211,0.1474
1616,BK7_2,13.736,1.8175,0.1477
1617,BK7_2,13.774,1.8118,0.148
1618,BK7_2,13.812,1.805,0.1478
1619,BK7_2,13.85,1.7994,0.1469
1620,BK7_2,13.889,1.7949,0.145
1621,BK7_2,13.928,1.7908,0.1425
1622,BK7_2,13.966,1.787,0.1401
1623,BK7_2,14.006,1.7831,0.1381
1624,BK7_2,14.045,1.7791,0.1366
1625,BK7_2,14.085,1.7746,0.1358
1626,BK7_2,14.124,1.7697,0.1354
1627,BK7_2,14.164,1.7642,0.1355
1628,BK7_2,14.205,1.7582,0.1361
1629,BK7_2,14.245,1.7523,0.1371
1630,BK7_2,14.286,1.7466,0.1386
1631,BK7_2,14.327,1.7414,0.1404
1632,BK7_2,14.368,1.7369,0.1425
1633,BK7_2,14.409,1.7329,0.1448
1634,BK7_2,14.451,1.7296,0.1471
1635,BK7_2,14.493,1.7269,0.1494
1636,BK7_2,14.535,1.7243,0.1516
1637,BK7_2,14.577,1.7213,0.1535
1638,BK7_2,14.62,1.7176,0.155
1639,BK7_2,14.663,1.7131,0.1561
1640,BK7_2,14.706,1.7084,0.1568
1641,BK7_2,14.749,1.7041,0.1572
1642,BK7_2,14.793,1.7007,0.1574
1643,BK7_2,14.837,1.698,0.1575
1644,BK7_2,14.881,1.6957,0.1576
1645,BK7_2,14.925,1.6937,0.1576
1646,BK7_2,14.97,1.6917,0.1576
1647,BK7_2,15.015,1.6898,0.1576
1648,BK7_2,15.06,1.6876,0.1576
1649,BK7_2,15.106,1.6847,0.1577
1650,BK7_2,15.152,1.6808,0.158
1651,BK7_2,15.198,1.6756,0.1583
1652,BK7_2,15.244,1.6696,0.1588
1653,BK7_2,15.291,1.6635,0.1595
1654,BK7_2,15.337,1.6578,0.1604
1655,BK7_2,15.385,1.6528,0.1615
1656,BK7_2,15.432,1.6485,0.163
1657,BK7_2,15.48,1.6445,0.1649
1658,BK7_2,15.528,1.6404,0.1671
1659,BK7_2,15.576,1.6359,0.1697
1660,BK7_2,15.625,1.6314,0.1726
1661,BK7_2,15.674,1.6271,0.1759
1662,BK7_2,15.723,1.6231,0.1794
1663,BK7_2,15.773,1.6197,0.1832
1664,BK7_2,15.823,1.6168,0.1868
1665,BK7_2,15.873,1.6143,0.19
1666,BK7_2,15.924,1.6119,0.1926
1667,BK7_2,15.974,1.6096,0.1948
1668,BK7_2,16.026,1.607,0.1967
1669,BK7_2,16.077,1.6036,0.1986
1670,BK7_2,16.129,1.5992,0.2004
1671,BK7_2,16.181,1.5938,0.2023
1672,BK7_2,16.234,1.5878,0.2045
1673,BK7_2,16.287,1.5814,0.207
1674,BK7_2,16.34,1.5752,0.2102
1675,BK7_2,16.393,1.5696,0.2145
1676,BK7_2,16.447,1.5655,0.2198
1677,BK7_2,16.502,1.5628,0.225
1678,BK7_2,16.556,1.5615,0.2293
1679,BK7_2,16.611,1.5608,0.2325
1680,BK7_2,16.667,1.5602,0.2351
1681,BK7_2,16.722,1.5592,0.2373
1682,BK7_2,16.779,1.5569,0.2394
1683,BK7_2,16.835,1.5514,0.2414
1684,BK7_2,16.892,1.5422,0.2433
1685,BK7_2,16.949,1.534,0.2454
1686,BK7_2,17.007,1.5289,0.2478
1687,BK7_2,17.065,1.5251,0.2506
1688,BK7_2,17.123,1.5213,0.2543
1689,BK7_2,17.182,1.5165,0.2591
1690,BK7_2,17.241,1.5094,0.2651
1691,BK7_2,17.301,1.5007,0.2717
1692,BK7_2,17.361,1.4932,0.2783
1693,BK7_2,17.422,1.487,0.2848
1694,BK7_2,17.483,1.4814,0.2914
1695,BK7_2,17.544,1.476,0.2982
1696,BK7_2,17.606,1.4704,0.3053
1697,BK7_2,17.668,1.4643,0.313
1698,BK7_2,17.73,1.4585,0.3217
1699,BK7_2,17.794,1.4536,0.3314
1700,BK7_2,17.857,1.4492,0.3419
1701,BK7_2,17.921,1.445,0.353
1702,BK7_2,17.986,1.4408,0.3644
1703,BK7_2,18.051,1.4362,0.376
1704,BK7_2,18.116,1.4316,0.3876
1705,BK7_2,18.182,1.4272,0.3994
1706,BK7_2,18.248,1.4232,0.4113
1707,BK7_2,18.315,1.4199,0.4235
1708,BK7_2,18.382,1.417,0.4362
1709,BK7_2,18.45,1.4146,0.4492
1710,BK7_2,18.519,1.4127,0.4627
1711,BK7_2,18.587,1.4114,0.4772
1712,BK7_2,18.657,1.4112,0.4931
1713,BK7_2,18.727,1.4124,0.5092
1714,BK7_2,18.797,1.4146,0.5248
1715,BK7_2,18.868,1.4174,0.5405
1716,BK7_2,18.939,1.4203,0.5567
1717,BK7_2,19.011,1.4233,0.574
1718,BK7_2,19.084,1.4267,0.5941
1719,BK7_2,19.157,1.4305,0.615
1720,BK7_2,19.231,1.4352,0.6339
1721,BK7_2,19.305,1.4414,0.6518
1722,BK7_2,19.38,1.4499,0.6695
1723,BK7_2,19.455,1.4605,0.6876
1724,BK7_2,19.531,1.4721,0.7074
1725,BK7_2,19.608,1.4837,0.7284
1726,BK7_2,19.685,1.4952,0.7466
1727,BK7_2,19.763,1.5071,0.7652
1728,BK7_2,19.841,1.521,0.7872
1729,BK7_2,19.92,1.5475,0.8098
1730,BK7_2,20.0,1.5659,0.8311
1731,BK7_2,20.08,1.5793,0.8511
1732,BK7_2,20.161,1.6032,0.8708
1733,BK7_2,20.243,1.6285,0.8907
1734,BK7_2,20.325,1.6581,0.9093
1735,BK7_2,20.408,1.674,0.9241
1736,BK7_2,20.492,1.6878,0.9344
1737,BK7_2,20.576,1.7143,0.9421
1738,BK7_2,20.661,1.7438,0.9482
1739,BK7_2,20.747,1.7725,0.9529
1740,BK7_2,20.833,1.8013,0.9563
1741,BK7_2,20.921,1.83,0.9585
1742,BK7_2,21.008,1.853,0.9592
1743,BK7_2,21.097,1.8823,0.9583
1744,BK7_2,21.186,1.9098,0.9556
1745,BK7_2,21.277,1.9434,0.9511
1746,BK7_2,21.368,1.9723,0.9452
1747,BK7_2,21.459,2.0278,0.9378
1748,BK7_2,21.552,2.0545,0.9293
1749,BK7_2,21.645,2.0794,0.9194
1750,BK7_2,21.739,2.0935,0.9082
1751,BK7_2,21.834,2.1079,0.8925
1752,BK7_2,21.93,2.1384,0.8727
1753,BK7_2,22.026,2.159,0.8537
1754,BK7_2,22.124,2.1726,0.8347
1755,BK7_2,22.222,2.1898,0.815
1756,BK7_2,22.321,2.2291,0.7944
1757,BK7_2,22.422,2.2409,0.7729
1758,BK7_2,22.523,2.2478,0.7505
1759,BK7_2,22.624,2.255,0.7274
1760,BK7_2,22.727,2.2672,0.7038
1761,BK7_2,22.831,2.2832,0.6799
1762,BK7_2,22.936,2.2912,0.6563
1763,BK7_2,23.041,2.296,0.6335
1764,BK7_2,23.148,2.2996,0.6121
1765,BK7_2,23.256,2.3025,0.5919
1766,BK7_2,23.364,2.305,0.5727
1767,BK7_2,23.474,2.3069,0.5542
1768,BK7_2,23.585,2.3081,0.5361
1769,BK7_2,23.697,2.3084,0.5183
1770,BK7_2,23.81,2.3081,0.5011
1771,BK7_2,23.923,2.3072,0.4847
1772,BK7_2,24.038,2.3059,0.4693
1773,BK7_2,24.155,2.3043,0.4548
1774,BK7_2,24.272,2.3025,0.4412
1775,BK7_2,24.39,2.3004,0.4283
1776,BK7_2,24.51,2.2981,0.4158
1777,BK7_2,24.631,2.2957,0.4038
1778,BK7_2,24.752,2.2932,0.3919
1779,BK7_2,24.876,2.2908,0.3802
1780,BK7_2,25.0,2.2884,0.3685
1781,BK7_2,25.126,2.2857,0.3568
1782,BK7_2,25.253,2.2825,0.3448
1783,BK7_2,25.381,2.2781,0.3324
1784,BK7_2,25.51,2.2722,0.3201
1785,BK7_2,25.641,2.266,0.3087
1786,BK7_2,25.773,2.2608,0.2986
1787,BK7_2,25.907,2.2565,0.2894
1788,BK7_2,26.042,2.2524,0.2808
1789,BK7_2,26.178,2.2482,0.2725
1790,BK7_2,26.316,2.2435,0.2644
1791,BK7_2,26.455,2.2382,0.2566
1792,BK7_2,26.596,2.2324,0.2489
1793,BK7_2,26.738,2.2256,0.2413
1794,BK7_2,26.882,2.2176,0.2339
1795,BK7_2,27.027,2.2093,0.2265
1796,BK7_2,27.174,2.2024,0.2194
1797,BK7_2,27.322,2.1974,0.2124
1798,BK7_2,27.473,2.1932,0.2056
1799,BK7_2,27.624,2.1892,0.1993
1800,BK7_2,27.778,2.1849,0.1935
1801,BK7_2,27.933,2.1796,0.1882
1802,BK7_2,28.09,2.1735,0.1833
1803,BK7_2,28.249,2.1675,0.1786
1804,BK7_2,28.409,2.162,0.1742
1805,BK7_2,28.571,2.1565,0.1699
1806,BK7_2,28.736,2.1506,0.1658
1807,BK7_2,28.902,2.1438,0.1619
1808,BK7_2,29.07,2.1355,0.1582
1809,BK7_2,29.24,2.1275,0.1547
1810,BK7_2,29.412,2.1215,0.1514
1811,BK7_2,29.586,2.1171,0.1484
1812,BK7_2,29.762,2.1131,0.1456
1813,BK7_2,29.94,2.109,0.1432
1814,BK7_2,30.12,2.1041,0.1412
1815,BK7_2,30.303,2.098,0.1396
1816,BK7_2,30.488,2.092,0.1384
1817,BK7_2,30.675,2.0872,0.1377
1818,BK7_2,30.864,2.0831,0.1374
1819,BK7_2,31.056,2.079,0.1375
1820,BK7_2,31.25,2.0745,0.138
1821,BK7_2,31.447,2.069,0.1387
1822,BK7_2,31.646,2.0629,0.1397
1823,BK7_2,31.847,2.0568,0.1409
1824,BK7_2,32.051,2.0514,0.1422
1825,BK7_2,32.258,2.0472,0.1436
1826,BK7_2,32.468,2.0442,0.1449
1827,BK7_2,32.68,2.0418,0.1462
1828,BK7_2,32.895,2.0398,0.1472
1829,BK7_2,33.113,2.0377,0.1481
1830,BK7_2,33.333,2.0352,0.1486
1831,Be,0.24797,1.6444,2.9702
1832,Be,0.25494,1.7278,3.0024
1833,Be,0.26212,1.8112,3.0308
1834,Be,0.26949,1.8942,3.0554
1835,Be,0.27707,1.9763,3.0766
1836,Be,0.28487,2.0573,3.0944
1837,Be,0.29288,2.1368,3.1091
1838,Be,0.30112,2.2147,3.121
1839,Be,0.3096,2.2907,3.1302
1840,Be,0.31831,2.3646,3.1372
1841,Be,0.32726,2.4362,3.142
1842,Be,0.33647,2.5055,3.145
1843,Be,0.34594,2.5723,3.1464
1844,Be,0.35567,2.6366,3.1466
1845,Be,0.36568,2.6983,3.1456
1846,Be,0.37596,2.7574,3.1439
1847,Be,0.38654,2.8139,3.1415
1848,Be,0.39742,2.8678,3.1388
1849,Be,0.4086,2.919,3.1358
1850,Be,0.42009,2.9677,3.1328
1851,Be,0.43191,3.0138,3.13
1852,Be,0.44406,3.0574,3.1275
1853,Be,0.45656,3.0984,3.1255
1854,Be,0.4694,3.137,3.1241
1855,Be,0.48261,3.1731,3.1235
1856,Be,0.49619,3.2068,3.1238
1857,Be,0.51015,3.2381,3.125
1858,Be,0.5245,3.267,3.1275
1859,Be,0.53926,3.2937,3.1312
1860,Be,0.55443,3.318,3.1362
1861,Be,0.57003,3.34,3.1427
1862,Be,0.58606,3.3597,3.1508
1863,Be,0.60255,3.3772,3.1606
1864,Be,0.6195,3.3924,3.1723
1865,Be,0.63693,3.4054,3.1858
1866,Be,0.65485,3.4161,3.2013
1867,Be,0.67328,3.4246,3.2191
1868,Be,0.69222,3.4308,3.239
1869,Be,0.7117,3.4348,3.2614
1870,Be,0.73172,3.4366,3.2863
1871,Be,0.75231,3.436,3.3139
1872,Be,0.77347,3.4332,3.3443
1873,Be,0.79523,3.4282,3.3777
1874,Be,0.81761,3.4209,3.4142
1875,Be,0.84061,3.4113,3.454
1876,Be,0.86426,3.3994,3.4973
1877,Be,0.88857,3.3853,3.5442
1878,Be,0.91357,3.369,3.5951
1879,Be,0.93928,3.3505,3.6499
1880,Be,0.9657,3.3298,3.7091
1881,Be,0.99287,3.307,3.7728
1882,Be,1.0208,3.2822,3.8412
1883,Be,1.0495,3.2554,3.9145
1884,Be,1.0791,3.2268,3.9931
1885,Be,1.1094,3.1964,4.077
1886,Be,1.1406,3.1644,4.1666
1887,Be,1.1727,3.1309,4.262
1888,Be,1.2057,3.0961,4.3635
1889,Be,1.2396,3.0602,4.4712
1890,Be,1.2745,3.0233,4.5854
1891,Be,1.3104,2.9856,4.7062
1892,Be,1.3472,2.9474,4.8338
1893,Be,1.3851,2.9089,4.9683
1894,Be,1.4241,2.8702,5.1099
1895,Be,1.4642,2.8316,5.2586
1896,Be,1.5054,2.7933,5.4145
1897,Be,1.5477,2.7555,5.5777
1898,Be,1.5913,2.7183,5.7482
1899,Be,1.636,2.682,5.9262
1900,Be,1.6821,2.6466,6.1116
1901,Be,1.7294,2.6125,6.3045
1902,Be,1.778,2.5796,6.5049
1903,Be,1.8281,2.5481,6.7128
1904,Be,1.8795,2.518,6.9283
1905,Be,1.9324,2.4896,7.1515
1906,Be,1.9867,2.4629,7.3823
1907,Be,2.0426,2.4379,7.6208
1908,Be,2.1001,2.4147,7.8671
1909,Be,2.1592,2.3934,8.1213
1910,Be,2.2199,2.374,8.3835
1911,Be,2.2824,2.3565,8.6537
1912,Be,2.3466,2.341,8.932
1913,Be,2.4126,2.3276,9.2186
1914,Be,2.4805,2.3163,9.5136
1915,Be,2.5503,2.307,9.8172
1916,Be,2.6221,2.3,10.129
1917,Be,2.6958,2.2951,10.451
1918,Be,2.7717,2.2924,10.781
1919,Be,2.8497,2.2921,11.12
1920,Be,2.9298,2.294,11.469
1921,Be,3.0123,2.2984,11.827
1922,Be,3.097,2.3052,12.195
1923,Be,3.1841,2.3145,12.573
1924,Be,3.2737,2.3264,12.962
1925,Be,3.3658,2.3409,13.361
1926,Be,3.4605,2.3582,13.77
1927,Be,3.5579,2.3783,14.191
1928,Be,3.658,2.4013,14.623
1929,Be,3.7609,2.4273,15.067
1930,Be,3.8667,2.4564,15.522
1931,Be,3.9755,2.4888,15.99
1932,Be,4.0873,2.5246,16.47
1933,Be,4.2023,2.5638,16.963
1934,Be,4.3206,2.6068,17.468
1935,Be,4.4421,2.6535,17.988
1936,Be,4.5671,2.7041,18.521
1937,Be,4.6956,2.7589,19.068
1938,Be,4.8277,2.8181,19.629
1939,Be,4.9635,2.8817,20.205
1940,Be,5.1032,2.9501,20.796
1941,Be,5.2468,3.0234,21.403
1942,Be,5.3944,3.1019,22.026
1943,Be,5.5461,3.1858,22.665
1944,Be,5.7022,3.2754,23.32
1945,Be,5.8626,3.371,23.992
1946,Be,6.0275,3.4728,24.682
1947,Be,6.1971,3.5811,25.39
1948,Be,6.3715,3.6963,26.116
1949,Be,6.5507,3.8187,26.86
1950,Be,6.735,3.9487,27.624
1951,Be,6.9245,4.0866,28.406
1952,Be,7.1193,4.2328,29.209
1953,Be,7.3196,4.3877,30.032
1954,Be,7.5256,4.5517,30.876
